Date,Description,Debit,Credit,Balance
2025-03-01,Fund transfer from TITAN CONSTRUCTION SDN BHD,,40000,70000.0
2025-03-02,Internal adjustment,19500,,50500.0
2025-03-03,Fund transfer from ZENITH ENGINEERING SDN BHD,,20000,70500.0
2025-03-04,Internal adjustment,19500,,51000.0
2025-03-05,Fund transfer from INFINITY TRADING HOLDINGS,,40000,91000.0
2025-03-06,Intercompany settlement,29500,,61500.0
2025-03-07,Fund transfer from PRIME HARDWARE ENTERPRISE,,30000,91500.0
2025-03-08,Management fee payment,29500,,62000.0
2025-03-09,Fund transfer from GLOBAL MINING RESOURCES,,30000,92000.0
2025-03-10,Intercompany settlement,19500,,72500.0
2025-03-11,Fund transfer from ALPHA INDUSTRIAL SUPPLY,,20000,92500.0
2025-03-12,Internal adjustment,39500,,53000.0
2025-03-13,Fund transfer from OMEGA STEEL TRADING,,20000,73000.0
2025-03-14,Internal adjustment,29500,,43500.0
2025-03-15,Fund transfer from OMEGA STEEL TRADING,,20000,63500.0
2025-03-16,Temporary fund transfer,19500,,44000.0
2025-03-17,Fund transfer from PRIME HARDWARE ENTERPRISE,,20000,64000.0
2025-03-18,Internal adjustment,29500,,34500.0
2025-03-19,Fund transfer from ORBIT INFRASTRUCTURE SDN BHD,,50000,84500.0
2025-03-20,Internal adjustment,29500,,55000.0
2025-03-21,Fund transfer from TITAN CONSTRUCTION SDN BHD,,40000,95000.0
2025-03-22,Management fee payment,29500,,65500.0
2025-03-23,Fund transfer from VECTOR MACHINERY SDN BHD,,30000,95500.0
2025-03-24,Management fee payment,39500,,56000.0
2025-03-25,Fund transfer from ORBIT INFRASTRUCTURE SDN BHD,,40000,96000.0
2025-03-26,Internal adjustment,19500,,76500.0
2025-03-27,Fund transfer from DELTA SHIPPING SERVICES,,50000,126500.0
2025-03-28,Management fee payment,39500,,87000.0
2025-03-29,Fund transfer from DELTA SHIPPING SERVICES,,50000,137000.0
2025-03-30,Internal adjustment,39500,,97500.0
